Rank,Name,basename,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,img_url
171,The Last of Us,the-last-of-us,0.0,6.27,2.41,2.57,0.29,0.99,2013.0,/games/boxart/full_2562877AmericaFrontccc.jpg
172,Driver,driver,0.0,6.27,3.11,2.8,0.02,0.33,1999.0,/games/boxart/7411582ccc.jpg
174,God of War (2018),god-of-war-2018,0.0,6.15,2.83,2.17,0.13,01.02,2018.0,/games/boxart/full_3094030AmericaFrontccc.jpg
175,Big Brain Academy,big-brain-academy,6.15,,0.0,0.0,0.0,0.0,2006.0,/games/boxart/full_8805912AmericaFrontccc.jpg
177,Metal Gear Solid 2: Sons of Liberty,metal-gear-solid-2-sons-of-liberty,0.0,06.05,2.45,02.01,0.87,0.72,2001.0,/games/boxart/7540650ccc.jpg
178,Metal Gear Solid,metal-gear-solid,6.0,,0.0,0.0,0.35,0.0,1998.0,/games/boxart/9272999ccc.jpg
179,Myst,myst,6.0,,0.45,0.05,0.65,0.05,1995.0,/games/boxart/6809758ccc.jpg
180,Sonic the Hedgehog 2,sonic-the-hedgehog-2,6.0,,0.0,0.0,0.2,0.0,1992.0,/games/boxart/full_7789756AmericaFrontccc.jpg
181,Metal Gear Solid 4: Guns of the Patriots,metal-gear-solid-4-guns-of-the-patriots,0.0,6.0,2.63,1.72,0.83,0.81,2008.0,/games/boxart/full_9894043AmericaFrontccc.jpg
182,Euro Truck Simulator 2,euro-truck-simulator-2,5.98,,0.0,0.0,0.0,0.0,2013.0,/games/boxart/full_7497790PALFrontccc.jpg
183,Mario Kart: Super Circuit,mario-kart-super-circuit,5.91,,0.0,0.0,0.0,0.0,2001.0,/games/boxart/2658248ccc.jpg
184,Super Mario Sunshine,super-mario-sunshine,5.91,,0.0,0.0,0.0,0.0,2002.0,/games/boxart/full_7690529AmericaFrontccc.jpg
185,LittleBigPlanet,littlebigplanet,0.0,5.85,06.05,8.36,0.22,4.27,2008.0,/games/boxart/full_2499488AmericaFrontccc.jpg
186,Age of Empires II: HD Edition,age-of-empires-ii-hd-edition,5.82,,0.0,0.0,0.0,0.0,2013.0,/games/boxart/full_7218098AmericaFrontccc.jpg
187,Super Mario 3D World,super-mario-3d-world,5.8,,0.0,0.0,0.0,0.0,2013.0,/games/boxart/full_5846657AmericaFrontccc.jpg
188,Link's Crossbow Training,links-crossbow-training,5.79,,0.0,0.0,0.0,0.0,2007.0,/games/boxart/full_links-crossbow-training_1AmericaFront.jpg
190,New Super Mario Bros. U,new-super-mario-bros-u,5.77,,0.0,0.0,0.0,0.0,2012.0,/games/boxart/full_3288399AmericaFrontccc.jpg
191,Destiny,destiny,0.0,5.76,23.43,11.88,0.81,4.79,2014.0,/games/boxart/full_6703728AmericaFrontccc.jpg
192,Luigi's Mansion: Dark Moon,luigis-mansion-dark-moon,5.75,,0.0,0.0,0.0,0.0,2013.0,/games/boxart/full_5092550AmericaFrontccc.png
193,Tekken 2,tekken-2,0.0,5.74,2.26,1.89,1.36,0.23,1996.0,/games/boxart/full_tekken-2_616AmericaFront.jpg
194,Uncharted: The Nathan Drake Collection,uncharted-the-nathan-drake-collection,0.0,5.7,2.55,2.11,0.1,0.94,2015.0,/games/boxart/full_421168AmericaFrontccc.jpg
195,Super Mario World: Super Mario Advance 2,super-mario-world-super-mario-advance-2,5.69,,0.0,0.0,0.0,0.0,2002.0,/games/boxart/5020276ccc.jpg
196,LEGO Star Wars: The Complete Saga,lego-star-wars-the-complete-saga,0.0,5.66,30.47,17.82,0.0,5.77,2007.0,/games/boxart/full_2958031AmericaFrontccc.jpg
197,Cooking Mama,cooking-mama,0.0,5.66,03.09,1.92,0.07,0.58,2006.0,/games/boxart/full_4805635AmericaFrontccc.jpg
198,The Legend of Zelda: Ocarina of Time 3D,the-legend-of-zelda-ocarina-of-time-3d,5.62,,7.1,0.05,2.8,0.0,2011.0,/games/boxart/full_808764AmericaFrontccc.jpg
200,Super Mario Advance,super-mario-advance,5.57,,0.0,0.0,0.0,0.0,2001.0,/games/boxart/1255012ccc.png
201,Assassin's Creed II,assassins-creed-ii,0.0,5.57,18.29,11.95,0.61,3.81,2009.0,/games/boxart/full_5252150AmericaFrontccc.jpg
202,Super Smash Bros.,super-smash-bros,5.55,,0.0,0.0,0.0,0.0,1999.0,/games/boxart/full_4987723AmericaFrontccc.jpg
203,Assassin's Creed,assassins-creed,0.0,5.55,12.88,15.89,0.52,4.96,2007.0,/games/boxart/full_7562642AmericaFrontccc.jpg
