Name,Basename,Release Date,Age Rating,Single Player,Multi Player,Franchise
Final Fantasy XII,final-fantasy-xii,15/03/2006,PEGI-16,1,0,Final Fantasy
Tomodachi Life,tomodachi-life,17/04/2013,ESRB-E,1,1,
Pokemon Crystal Version,pokemon-crystal-version,00/00/2001,,,,
Halo 3: ODST,halo-3-odst,21/09/2009,ESRB-M,1,1,
FIFA 15,fifa-15,22/09/2014,PEGI-3,1,1,
Kingdom Hearts,kingdom-hearts,27/03/2002,ESRB-E,1,0,
Street Fighter II: The World Warrior,street-fighter-ii-the-world-warrior,21/06/1991,,,,
The Last of Us,the-last-of-us,13/06/2013,ESRB-M,1,1,
Driver,driver,24/06/1999,PEGI-7,1,0,
God of War (2018),god-of-war-2018,00/00/2018,,,,
Big Brain Academy,big-brain-academy,04/06/2006,ESRB-E,1,1,
Metal Gear Solid 2: Sons of Liberty,metal-gear-solid-2-sons-of-liberty,12/11/2001,,1,0,
Metal Gear Solid,metal-gear-solid,02/09/1998,ESRB-M,1,0,
Myst,myst,23/09/1993,,1,0,
Sonic the Hedgehog 2,sonic-the-hedgehog-2,20/11/1992,ESRB-E,1,1,
Metal Gear Solid 4: Guns of the Patriots,metal-gear-solid-4-guns-of-the-patriots,11/06/2008,ESRB-M,1,0,
Euro Truck Simulator 2,euro-truck-simulator-2,17/10/2012,PEGI-3,1,0,
Mario Kart: Super Circuit,mario-kart-super-circuit,20/07/2001,ESRB-E,1,1,Mario Bros.
Super Mario Sunshine,super-mario-sunshine,25/08/2002,ESRB-E,1,0,Mario Bros.
LittleBigPlanet,littlebigplanet,26/10/2008,ESRB-E,1,1,
Age of Empires II: HD Edition,age-of-empires-ii-hd-edition,08/04/2013,,1,1,
Super Mario 3D World,super-mario-3d-world,20/11/2013,ESRB-E,1,1,
Link's Crossbow Training,links-crossbow-training,00/00/2007,,,,
New Super Mario Bros. U,new-super-mario-bros-u,17/11/2012,ESRB-E,1,1,
Destiny,destiny,08/09/2014,ESRB-T,1,1,
Luigi's Mansion: Dark Moon,luigis-mansion-dark-moon,00/00/2013,,,,
Tekken 2,tekken-2,28/09/1995,ESRB-T,1,1,
Uncharted: The Nathan Drake Collection,uncharted-the-nathan-drake-collection,06/10/2015,ESRB-T,1,0,
Super Mario World: Super Mario Advance 2,super-mario-world-super-mario-advance-2,13/12/2001,ESRB-E,,,
LEGO Star Wars: The Complete Saga,lego-star-wars-the-complete-saga,05/11/2007,ESRB-E10,1,1,
Cooking Mama,cooking-mama,22/03/2006,ESRB-E,1,0,
The Legend of Zelda: Ocarina of Time 3D,the-legend-of-zelda-ocarina-of-time-3d,15/06/2011,ESRB-E10,1,0,
Super Mario Advance,super-mario-advance,20/03/2001,ESRB-E,1,1,
Assassin's Creed II,assassins-creed-ii,00/00/2009,,,,
Super Smash Bros.,super-smash-bros,20/01/1999,ESRB-E,1,1,Mario Bros.
Assassin's Creed,assassins-creed,00/00/2007,,,,
Batman: Arkham City,batman-arkham-city,17/10/2011,ESRB-T,1,0,Batman
Forza Motorsport 3,forza-motorsport-3,21/10/2009,ESRB-E,1,1,
Dragon Quest IX: Sentinels of the Starry Skies,dragon-quest-ix-sentinels-of-the-starry-skies,10/07/2009,ESRB-E10,1,1,
Final Fantasy IX,final-fantasy-ix,06/07/2000,ESRB-T,1,0,Final Fantasy
Final Fantasy X-2,final-fantasy-x-2,12/03/2003,PEGI-12,1,0,Final Fantasy
Tomb Raider (2013),tomb-raider-2013,00/00/2013,,,,
The Witcher 3: Wild Hunt,the-witcher-3-wild-hunt,18/05/2015,ESRB-M,1,0,
Pokémon Stadium,pokemon-stadium,29/04/1999,ESRB-E,1,1,Pokémon
Super Mario Advance 4: Super Mario Bros. 3,super-mario-advance-4-super-mario-bros-3,10/07/2003,ESRB-E,1,1,
Crash Bandicoot: The Wrath of Cortex,crash-bandicoot-the-wrath-of-cortex,28/10/2001,,1,0,
Final Fantasy XIII,final-fantasy-xiii,16/12/2009,ESRB-T,1,0,Final Fantasy
Gran Turismo 5 Prologue,gran-turismo-5-prologue,12/12/2007,ESRB-E,1,1,
Super Smash Bros. for Wii U,super-smash-bros-for-wii-u,20/11/2014,ESRB-E10,1,1,
