name,first_release_date,single_player,multi_player,age_ratings,franchise,game_modes
Flight Unlimited 2K18,09/07/2017,1,0,null,null,null
Scraper,null,null,null,null,null,null
Stickman Combat Pixel Edition,null,null,null,null,null,null
Totally Realistic Sledding VR,30/11/2017,1,0,null,null,null
Brixout XP,null,null,null,null,null,null
Frisky Business: Episode 2,null,1,0,null,null,null
Flower Lines,null,null,null,null,null,null
Ultimate Ride: Disney Coaster,30/12/2001,1,0,null,null,null
Spacefighter Rukia,null,null,null,null,null,null
ACA NEOGEO REAL BOUT FATAL FURY SPECIAL,13/12/2017,1,1,ESRB-T,null,null
DokiDoki Posing Mirai chan,null,null,null,null,null,null
The Legend of Heroes: Trails in the Sky FC Evolution,null,null,null,null,null,null
Lop Nor Zombie VR,29/09/2016,1,0,null,null,null
Moorhuhn Kart Extra,null,null,null,null,null,null
Mark of the Ninja,06/09/2012,1,0,ESRB-M,null,null
Toy Bot Diaries 2,30/11/2008,null,null,null,null,null
Baldis Basics Calculator Sim,null,null,null,null,null,null
Savage: The Battle for Newerth,08/09/2003,0,1,ESRB-T,null,null
Die 4te Offenbarung,null,0,1,null,null,null
Pawn Tactics,29/09/2013,0,1,ESRB-T,null,null
Void Cube Runner,null,1,0,null,null,null
Sexamaid Maika,null,null,null,null,null,null
Back Wars,null,null,null,null,null,null
SEEP Universe,14/07/2015,1,0,null,null,null
Majan Doujou,null,null,null,null,null,null
Naoki Tales,null,null,null,null,null,null
Hoo-Boy,28/09/2017,1,0,null,null,null
Mosaics Galore,null,1,0,null,null,null
Bug Blitz,31/01/1985,null,null,null,null,null
Fiz: The Brewery Management Game,11/12/2013,1,0,ESRB-T,null,null
"E Quotes Trivia: Movies, TV, Music, Books",null,null,null,null,null,null
Otome Games: Is It Love? Ryan,null,null,null,null,null,null
Synonym Match,null,null,null,null,null,null
Pro Cycling Manager 2016,null,null,null,PEGI-3,null,null
Puzzle Blast,null,null,null,null,null,null
My Little Baby,17/02/2011,null,null,null,null,null
Ultimate Motorcycle Series,null,null,null,null,null,null
Taxi3: Extreme Rush,null,null,null,null,null,null
Vajra 2,null,null,null,null,null,null
Blue Bird,12/04/2017,1,0,null,null,null
Tiny Defense 2 - Mini Robot Wars,null,null,null,null,null,null
Fatal Flash,null,null,null,null,null,null
Seasons Pairs,null,null,null,null,null,null
A2 Racer,30/12/1997,1,0,null,null,null
