name,first_release_date,single_player,multi_player,age_ratings,franchise,game_modes
Oku-sama wa Moto Yariman -Besluted-,null,null,null,null,null,null
Poke-It Poker!,null,null,null,null,null,null
ABC: Audioreactive Beat Circle,null,null,null,null,null,null
Monster Truck Mania,null,null,null,null,null,null
Agatha Christie 4:50 from Paddington,16/06/2010,null,null,null,null,null
Baseball Boy!,22/01/2018,ESRB-E,null,null,null,null
Bilbo: The Four Corners of the World,null,null,null,null,null,null
Sunny School Stories,null,ESRB-E,null,null,null,null
Braveland,16/03/2014,null,1,0,null,null
Foundations Waste,30/12/1988,null,1,0,null,null
Hard Truck Apocalypse: Arcade / Ex Machina: Arcade,04/02/2014,null,1,0,null,null
The Wizards Pet,null,null,null,null,null,null
Fairy,null,null,null,null,null,null
Lose Your Marbles,null,null,null,null,null,null
Der Planer 3,null,null,null,null,null,null
DemonCrawl,04/11/2019,null,1,0,null,null
Pinball for the TRS-80 CoCo.,null,null,null,null,null,null
Xtreme Tankz Madness II,null,null,null,null,null,null
Enkaku Sousa: Sanahe no 23 Hiai,null,null,null,null,null,null
Escape the Room,null,null,null,null,null,null
Road of the Dead 2,null,null,null,null,null,null
Galax Attax,null,null,null,null,null,null
Project Earth: Starmageddon,null,null,null,null,null,null
Ice Fever,null,null,null,null,null,null
Phoenotopia Awakening,null,null,1,0,null,null
Idol Hanafuda Fan Club,30/11/1991,null,null,null,null,null
Sky Fighter Legends,null,null,0,1,null,null
Deer's Revenge,30/12/1999,null,1,0,null,null
Moero!! Pro Yakyuu Homerun Kyousou,31/05/1988,null,null,null,null,null
Better Your Bridge,null,null,null,null,null,null
Fall In Love - My Billionaire Boss,null,null,1,0,null,null
Monster Hunter Rise: Deluxe Edition,null,null,null,null,null,null
Mini Transport,20/02/2020,null,1,0,null,null
Equilibrium 3D,null,null,null,null,null,null
Field Day,31/05/1984,null,null,null,null,null
James Town Courier Frog MD,null,null,1,0,null,null
Godfall: Ascended Edition,null,null,null,null,null,null
Harvest,12/01/2014,null,null,null,null,null
JAM Live Music Arcade,null,null,null,null,null,null
Greatest Artists Jigsaw Puzzle,null,null,null,null,null,null
VRSailing by BeTomorrow,11/01/2017,null,1,0,null,null
NaziShootout,null,null,1,0,null,null
Wartime Prologue,null,null,1,0,null,null
PPKP,null,null,null,null,null,null
RuneScape Quests: One Piercing Note,null,null,null,null,null,null
Wild Animals - Animated Jigsaws,06/11/2016,null,1,0,null,null
Championship Sprint,null,null,null,null,null,null
Renegade Legion: Interceptor,null,null,null,null,null,null
Trivial Pursuit Tap,null,null,null,null,null,null
Maximum Archery The Game,13/10/2016,null,1,0,null,null
Colour Box,null,null,1,0,null,null
Double Feature,null,null,null,null,null,null
Lorera,14/07/2020,null,1,0,null,null
BS Zelda no Densetsu,08/09/1995,null,1,0,null,null
Blue's Clues: Blue's Big Musical,30/12/2001,null,1,0,null,null
Try To Fall Asleep,null,null,1,0,null,null
Flight Sim 18,null,null,null,null,null,null
The Sims DJ,null,null,null,null,null,null
Hyperforce,30/12/1986,null,1,0,null,null
MOTO ROADER II,28/03/1991,null,null,null,null,null
Muffled Warfare,26/04/2018,null,0,1,null,null
Project Fist,30/12/2018,null,null,null,null,null
Figure Simulator War,null,null,1,0,null,null
RB Axolotl,null,null,1,0,null,null
Orion's Forge,null,null,null,null,null,null
Lull Aby,30/07/2019,null,1,0,null,null
rain,23/04/2016,null,1,0,null,null
Robbo,null,null,null,null,null,null
Cibele,01/11/2015,null,1,0,null,null
Lufia: Curse of the Sinistrals,24/02/2010,null,1,0,null,null
Meitantei Conan: Nerawareta Tantei,24/08/2003,null,null,null,null,null
Dragons: A Challenge in Chivalry,null,null,null,null,null,null
Queen's Tales: Sins of the Past HD,null,null,null,null,null,null
Starship Commander,null,null,null,null,null,null
BLeBRiTY,10/11/2017,null,null,null,null,null
Draft Day Sports: College Basketball 2020,09/03/2020,null,1,0,null,null
Panzer Campaigns: Japan '45,null,null,1,1,null,null
The Precursors,02/02/2017,null,1,0,null,null
Truck Simulator PRO 2,01/02/2017,null,null,null,null,null
Chip Buster,null,null,null,null,null,null
Dark Tales: Edgar Allan Poe's The Mystery of Marie Roget HD,null,null,null,null,null,null
Hot Rod: American Street Drag,null,null,null,null,null,null
Tubetastic World Splashfest,15/05/2019,null,1,1,null,null
Vulcanology: The MiniSeries Collection,null,null,null,null,null,null
SEGA AGES 2500 Vol.3: Fantasy Zone,null,null,null,null,null,null
The Life Of Greather,24/08/2016,null,1,0,null,null
Hatsukoi 1/1,28/06/2012,null,1,0,null,null
TiViTz – Math Game,null,null,null,null,null,null
I'm Still Here,null,null,1,0,null,null
Blocks That Matter,11/05/2011,null,1,0,null,null
Score a goal 2 (Physical football),null,null,1,0,null,null
Hunted: One Step Too Far,01/09/2016,null,1,0,null,null
GALS PINBALL,null,null,null,null,null,null
SEGA AGES 2500 Vol. 31: Dennou Senki Virtual-On,null,null,null,null,null,null
Team Apache,null,null,null,null,null,null
JESUS PUZZLE,null,null,null,null,null,null
刀剑天下,null,null,0,1,null,null
Jikkyou Powerful Pro Yakyuu 2011,13/08/2011,null,null,null,null,null
Mechstermination Force,03/04/2019,ESRB-E,1,1,null,null
RollerCoaster Tycoon World: Deluxe Edition,null,null,null,null,null,null
Q.U.B.E. - Against The Qlock,05/05/2013,null,1,0,null,null
League Challenge,null,null,null,null,null,null
Jumpy Horse Breeding,null,null,null,null,null,null
Tiny Invaders,null,null,null,null,null,null
Little Lovers 2nd. Yui,null,null,null,null,null,null
Where Birds Go to Sleep,null,null,1,0,null,null
Fairy Mahjong Premium - The New 3D Majong,null,null,null,null,null,null
Slot Quest: Alice in Wonderland,null,null,null,null,null,null
Monster Car Garage Fun,null,null,null,null,null,null
iRagdoll,26/03/2009,null,null,null,null,null
Dragon Ball Z: Shin Budokai - Another Road,19/03/2007,ESRB-T,1,1,"{'id': 56, 'name': 'Dragon Ball'}",null
Shin Gundam Musou,18/12/2013,null,null,null,null,null
Bridge Construction Set,null,null,null,null,null,null
Dekorating Blues,null,null,null,null,null,null
3D Block Kuzushi,null,null,null,null,null,null
Build City,null,null,null,null,null,null
Mecha Taisen on Planet Oldskool,null,null,null,null,null,null
Golf Cart Drive,null,null,1,0,null,null
Block Five,null,null,null,null,null,null
Valet Parking Inc.,null,null,null,null,null,null
MUTATION PHASE,null,null,1,0,null,null
Sakura MMO 2,24/01/2019,null,1,0,null,null
Blix,31/01/2014,null,null,null,null,null
Bubble Bobble Neo!,null,null,null,null,null,null
Industrial Demise,null,null,null,null,null,null
Starve.io,null,null,null,null,null,null
Rimonozekum,26/04/2018,PEGI-3,1,0,null,null
Stigmat,28/09/2015,null,1,0,null,null
THE LEGO® NINJAGO® MOVIE™ app,01/09/2016,null,null,null,null,null
Hot Routes: VR Football,null,null,null,null,null,null
Atomic Driver,null,null,null,null,null,null
Double Score~Cattleya×Narcissus~,null,null,null,null,null,null
The Klaxo Radio Hour,null,null,null,null,null,null
打豹虎 Spider Derby,null,null,1,0,null,null
Bomberman GB3,null,null,null,null,null,null
Gensokyo Defenders,28/11/2018,null,1,1,null,null
Reigns: The Council,null,null,null,null,null,null
Die schwarzen Reiter,30/12/1999,null,1,0,null,null
The famous diver,null,null,1,0,null,null
Super Methane Brothers,null,null,null,null,null,null
Daikaijuu Monogatari: Miracle of the Zone,04/03/1998,null,null,null,null,null
AlphaPit,null,null,null,null,null,null
Freecell Royale,null,null,null,null,null,null
Musicverse: Electronic Keyboard,17/02/2016,null,null,null,null,null
Aqua Jack,31/01/1990,null,null,null,null,null
Stranger by Night,null,null,null,null,null,null
Alimardan's Mischiefs,null,null,null,null,null,null
King Bandido,null,null,null,null,null,null
Warkanoid II: Wildlife,null,null,null,null,null,null
Spherical Constitution,null,null,null,null,null,null
Ridge Racer Accelerated HD,null,null,null,null,null,null
Sydney Treads the Catwalk,null,null,null,null,null,null
X the Hyper Ball,null,null,null,null,null,null
Blue Wish Resurrection Plus,null,null,null,null,null,null
Blockman Forever,null,null,null,null,null,null
Kart Fighter,31/01/1994,null,1,1,null,null
Lusternia: Age of Ascension,null,null,null,null,null,null
TinyWar high-speed,null,null,1,0,null,null
Big City Adventure: San Francisco,null,null,null,null,null,null
HamJam!!,null,null,null,null,null,null
Ratatouille: Food Frenzy,28/10/2007,ESRB-E,1,0,null,null
Dragon Ball Z: Sagas,21/03/2005,ESRB-T,1,1,"{'id': 201, 'name': 'Dragon Ball Z'}",null
Let's Go Read: An Island Adventure,30/12/1998,null,1,0,null,null
Fruit Master,null,null,1,0,null,null
ThunderBirds Are Go!,null,null,null,null,null,null
Learn Japanese To Survive! Kanji Combat,01/08/2018,null,1,0,null,null
Singles 2: Triple Trouble,26/05/2005,null,1,0,null,null
MAGICAL×SPIRAL: Collector's Edition,null,null,null,null,null,null
XEDISS,null,null,null,null,null,null
Super Foul Egg,null,null,null,null,null,null
Blockus' Adventures,null,null,1,0,null,null
The Doorbreaker,16/10/2017,null,1,0,null,null
Apogee Games: Companion CD-ROM,30/12/1994,null,null,null,null,null
Nikakudori Reborn,null,null,null,null,null,null
Age of Space,null,null,1,1,null,null
TetroCrate,11/06/2012,ESRB-E,1,0,null,null
Yatzy Classic,null,null,null,null,null,null
StreetMobsters,null,null,0,1,null,null
Dirt Bike Apocalypse,null,null,null,null,null,null
Bing Bing! Bingo,21/01/1994,null,null,null,null,null
Tabikaeru,23/11/2017,null,1,0,null,null
Theatre of War: Collection,null,null,null,null,null,null
Punchline!!,18/12/2019,null,1,0,null,null
REDO!,null,null,1,0,null,null
Smurfette's Magic Match,null,null,null,null,null,null
Space Invaders: The Original Game,30/12/1994,null,null,null,null,null
Balloonacy 2,null,null,null,null,null,null
Soko-ban Revenge SX-68K: User no Gyakushū-Hen,null,null,null,null,null,null
Recluses,11/03/2020,null,1,0,null,null
Gold Strike,null,null,null,null,null,null
Samantha Swift and the Fountains of Fate: Collector's Edition,null,null,null,null,null,null
Metaltech: Earthsiege Speech Pack,null,null,null,null,null,null
Pokémon Ruby Destiny: Reign Of Legends,21/08/2007,null,1,0,null,null
Nexomon: Extinction,27/08/2020,null,1,0,null,null
Carrie the Caregiver: Episode 1 - Infancy,null,null,null,null,null,null
Terra Monsters 2: Land of Afer,null,null,null,null,null,null
Funny Yo,null,null,1,0,null,null
Nyancle Racing,null,null,null,null,null,null
BitVault,24/03/2020,null,1,0,null,null
DiyMachinery,null,null,1,0,null,null
DIY Slime Maker! Squishy ASMR,null,null,null,null,null,null
Warriors & Castles,29/06/2015,null,0,1,null,null
The Free Ones,11/07/2018,null,1,0,null,null
Metal: Hellsinger,30/12/2021,ESRB-RP,1,0,null,null
Kotoba no Puzzle: Mojipittan Encore,01/04/2020,null,1,1,null,null
Golden Nugget Casino,null,null,null,null,null,null
Warp & Warp,31/08/1981,null,null,null,null,null
eFootball PES 2020 - Legend Edition,30/12/2019,null,1,1,null,null
World Stadium 5,null,null,null,null,null,null
7HE CODE,null,null,null,null,null,null
Retro Royale,null,null,null,null,null,null
Geki Yaba Runner: Anniversary Edition,30/05/2019,null,1,0,null,null
FINAL FANTASY VII REMAKE - Digital Deluxe Upgrade,null,null,null,null,null,null
Among Thorns,30/12/2016,null,1,0,null,null
Gekitotsu Dangan Jidousha Kessen: Battle Mobile,24/06/1993,null,null,null,null,null
NES Remix,17/12/2013,ESRB-E,1,0,null,null
GeoSafari: Animals,null,null,null,null,null,null
O'Leary Manager 2000,14/10/2000,null,null,null,null,null
Quasara,null,null,null,null,null,null
Uchuu Senkan Gomora,29/10/1991,null,null,null,null,null
Campaign Manager - An Election Simulator,null,null,null,null,null,null
Ominous Objects: Lumina Camera HD,null,null,null,null,null,null
Crystal's Pony Tale,31/01/1994,null,null,null,null,null
Tomb of Evil Avenue,null,null,null,null,null,null
ALILIA,null,null,1,0,null,null
Rocket Chase,null,null,null,null,null,null
Drawn To Kill,null,null,null,null,null,null
Two Point Hospital: Off the Grid,24/03/2020,PEGI-3,null,null,null,null
Morris Games,null,null,null,null,null,null
Zima uhodi!,null,null,1,0,null,null
Atelier Lulua: ~ The Scion of Arland ~,19/03/2019,ESRB-T,1,0,null,null
Bubble Explosion Adventure,null,null,null,null,null,null
Bouncedown,null,null,null,null,null,null
SingStar: Chartbreaker,03/12/2009,null,null,null,null,null
Pop Frenzy! The Emoji Movie Game,null,null,null,null,null,null
Las Vegas Roulette,02/11/1980,null,null,null,null,null
Nowhere Patrol,04/11/2018,null,1,0,null,null
Togainu no Chi ~Lost Blood~,24/02/2020,null,1,0,null,null
S.W.A.N.,30/03/2021,null,1,0,null,null
Animal Paradise Wild,null,null,null,null,null,null
Zyphoid,null,null,1,0,null,null
Quarrel,null,null,null,null,null,null
Memorial Series: Sunsoft vol. 3,null,null,null,null,null,null
Battle Of Tiles Ex,null,null,null,null,null,null
Fashion 🐞 Makeup Dress up Games,null,null,null,null,null,null
Mope.io,null,null,null,null,null,null
Blasterball 2: Revolution,null,null,null,null,null,null
Bottle Flip 3D,19/12/2018,null,1,0,null,null
Toilet Time - Mini Games,22/04/2014,null,null,null,null,null
Munchkin Match: Magic Home Building,null,null,null,null,null,null
Family Trainer,25/09/2008,PEGI-3,null,null,null,null
Sayonara o Oshiete: Comment te Dire Adieu,null,null,null,null,null,null
In Nightmare,null,null,null,null,null,null
Galaxy Invader,null,null,null,null,null,null
Missileman Origins,21/02/2017,null,1,0,null,null
Rugon,null,null,null,null,null,null
Burujiru,null,null,null,null,null,null
Deep Dive,null,null,null,null,null,null
Iron Wings,30/05/2017,ESRB-M,1,0,null,null
"Videocart-8: Mind Reader, Nim",30/01/1978,null,null,null,null,null
BoogieBall Game,31/10/2019,null,1,0,null,null
TV School House I,null,null,null,null,null,null
Tanker Truck Simulator 2011,null,null,null,null,null,null
Rebel Planet Orion,null,null,null,null,null,null
Terrorist Takedown 2,null,null,null,null,null,null
Lost Wage Rampage,null,null,null,null,null,null
Tokusen!,null,null,null,null,null,null
Solid Body Picross,null,null,null,null,null,null
New Era,null,null,null,null,null,null
Lily of Swampville,null,null,null,null,null,null
DANCERUSH STARDOM,null,null,null,null,null,null
Solid Gold,31/03/2013,null,null,null,null,null
Volcano Climber,31/05/2017,ESRB-E,1,0,null,null
Fastest 1,null,null,null,null,null,null
Stationary RPG,null,null,1,0,null,null
Glory Ages - Samurais,08/10/2018,null,1,0,null,null
Tail to Nose,null,null,null,null,null,null
Offroad Extreme!,null,null,null,null,null,null
Dragon Boy,null,null,null,null,null,null
ESPN NBA Basketball 2004,null,null,null,null,null,null
Workshop Invaders: Bouncy,null,null,null,null,null,null
Click!,null,null,null,null,null,null
LEGO Marvel's Avengers: Classic Captain Marvel Pack,28/03/2016,ESRB-E10,1,1,null,null
The Daedalic Comedy Selection,null,null,null,null,null,null
X-COM: em@il Games,null,null,null,null,null,null
NBA Action 94',null,null,null,null,null,null
Mouse Attack,31/01/1983,null,null,null,null,null
Jewel Pet: Mahou no Rhythm de Ieie!,null,null,null,null,null,null
Neon Rider,null,null,null,null,null,null
Clash Warlords,null,null,null,null,null,null
Game Box Série Esportes Radicais,null,null,null,null,null,null
Wondrous Magic,16/01/1994,null,null,null,null,null
Zep,null,null,null,null,null,null
NOLA is Burning,16/11/2017,null,1,0,null,null
Mr. Gravity,null,null,null,null,null,null
Death Road to Canada,20/07/2016,ESRB-T,1,1,null,null
Ragnarok Online 2,02/04/2013,null,1,1,null,null
Dr Pig's Hospital,null,null,null,null,null,null
Gare Sapphire Mechs,31/03/2015,null,1,0,null,null
地城蔷薇,24/02/2020,null,1,1,null,null
The adventure of Aladdin and the Magic Skull,null,null,null,null,null,null
Dead Head Fred,27/08/2007,ESRB-M,1,0,null,null
Mystereet: Other Side of Church,null,null,null,null,null,null
Final Match Tennis,28/02/1991,null,null,null,null,null
Hard Lads,20/06/2020,null,1,0,null,null
One Word 2 by POWGI,24/10/2018,null,null,null,null,null
NHL All-Star Hockey '98,30/11/1997,null,null,null,null,null
Esports Legend,15/10/2018,null,1,0,null,null
Dragon Tales: Dragon Seek,28/12/2000,null,null,null,null,null
Weable,21/08/2017,null,1,0,null,null
Ironlights,null,null,null,null,null,null
Lianthus,19/08/2020,ESRB-E,1,0,null,null
Mystereet: Detective Vacation,null,null,null,null,null,null
Long Live The Axe,null,null,null,null,null,null
Sam & Max: The Devil's Playhouse Episode 5 - The City That Dares Not Sleep,29/08/2010,ESRB-E10,1,0,null,null
Amiss 13: the Curse,04/10/2017,null,1,1,null,null
Super Hanafuda 2,19/10/1995,null,null,null,null,null
Rocket Smash EX,28/02/2015,null,null,null,null,null
Hoops Pinball,null,null,null,null,null,null
Vs. Duck Hunt,null,null,null,null,null,null
Martian Gothic: Unification,03/05/2000,ESRB-M,null,null,null,null
Stronghold Crusader 2: The Templar and The Duke,30/06/2015,null,null,null,null,null
Rekoil,27/01/2014,ESRB-M,0,1,null,null
Andretti Racing,16/09/1996,null,1,1,null,null
Cities in Motion Tokyo,null,null,null,null,null,null
The Legend of Heroes I & II: Eiyuu Densetsu,24/06/1998,null,null,null,null,null
Popstars,null,null,null,null,null,null
Haunted Manor: Lord of Mirrors - Collector's Edition,02/04/2017,null,1,0,null,null
Redwood Falls,null,null,null,null,null,null
Starfall,null,null,null,null,null,null
The Nightmare Of A City I Thought I Knew,null,null,null,null,null,null
iPitch,null,null,null,null,null,null
Sniper Assassin 3D,24/08/2015,null,null,null,null,null
In the Line of Fire,null,null,null,null,null,null
Urge,null,null,null,null,null,null
Burning Force,31/01/1989,null,null,null,null,null
Color Me !!! for Mac,null,null,null,null,null,null
Personal Space,null,null,null,null,null,null
Agents of Mayhem: Lazarus,10/10/2017,null,1,0,null,null
Extra Bases,31/05/1980,null,null,null,null,null
Cludbugz's Twisted Magic,24/08/2017,null,1,0,null,null
Musashi vs. Cthulhu,13/01/2020,null,1,0,null,null
Mind Spheres: Deluxe Edition,null,null,null,null,null,null
Presidential SpaceForce,null,null,null,null,null,null
Your Toy,16/11/2017,ESRB-T,1,0,null,null
Mobile Light Force,16/07/2015,null,1,0,null,null
Trainyard,null,null,null,null,null,null
Diner Bros,05/07/2018,null,1,1,null,null
Dead Cells - Action Game of the Year,22/08/2019,null,1,0,null,null
Picross e8,19/12/2017,ESRB-E,1,0,null,null
Death Shooter 4 : Mission Impossible,null,null,null,null,null,null
皓月空华,31/12/2018,null,1,0,null,null
Kill It With Fire: IGNITION,null,null,null,null,null,null
Popt!,19/10/2015,null,null,null,null,null
Snake Bricks-Bounce Balls,null,null,null,null,null,null
Ronin 2072,null,null,null,null,null,null
Arena,null,null,null,null,null,null
Drome,null,null,null,null,null,null
Sicier's Zweck,null,null,1,0,null,null
Nijiiro Canvas,null,null,null,null,null,null
The Blocky Ages,null,null,null,null,null,null
E.X.I.T.,null,null,null,null,null,null
Vyruz: Destruction of the Untel Empire,null,null,null,null,null,null
Pippo,null,null,null,null,null,null
HOPE,14/09/2020,null,1,0,null,null
Soul of a Robot,null,null,null,null,null,null
Pang Pang,03/06/1994,null,null,null,null,null
Soukou Seiki Ysphere ~Ingyaku no Sennou Kaizou~,21/02/2019,ESRB-M,null,null,null,null
OneBit Adventure,null,null,null,null,null,null
Minos Starfighter VR,null,null,null,null,null,null
AMAZING FROG: IN THE CITY,null,null,null,null,null,null
xMoon,null,null,1,0,null,null
Weird Park Trilogy,08/06/2015,null,1,0,null,null
Save the Halloween,09/11/2017,null,1,0,null,null
Scutum Phanti,null,null,1,0,null,null
Rip them Off,23/09/2020,null,1,0,null,null
Rising Angels: Fates Allegiance,null,null,null,null,null,null
Dash of Destruction,16/12/2008,PEGI-3,1,1,null,null
The Bardic Rites,null,null,null,null,null,null
What Happened,null,null,null,null,null,null
Suspended Workshops,30/11/2017,null,1,0,null,null
Nyanco Card,null,null,null,null,null,null
Barry Bradford's Putt Panic Party,null,null,null,null,null,null
Faily Brakes,23/02/2016,null,null,null,null,null
Curse of Eternity,null,null,null,null,null,null
Elvira's Horror Pack,null,null,null,null,null,null
Mass Effect: Infiltrator,05/03/2012,null,1,0,null,null
1942 Pacific Front,null,null,null,null,null,null
Fighting Network Rings,06/09/1997,null,null,null,null,null
Drug Lord 2,null,null,null,null,null,null
Arnold the Adventurer,null,null,null,null,null,null
Hero.EXE,null,null,null,null,null,null
Street Cleaning Simulator,null,null,null,null,null,null
Lotus Turbo Challenge,31/01/1992,null,null,null,null,null
Super Albatross,null,null,null,null,null,null
Hot Wheels: Bash Arena,null,null,null,null,null,null
Generic Space Shooter,10/03/2016,null,1,0,null,null
Summer Wheelie,null,null,null,null,null,null
Lunatic Dawn Tempest,null,null,null,null,null,null
Galivan - Cosmo Police,31/01/1985,null,null,null,null,null
Archer VR,null,null,null,null,null,null
Mito da Criação,null,null,null,null,null,null
Airia,null,null,null,null,null,null
Amazing Katamari Damacy,null,null,null,null,null,null
WaveOfTimeLite,null,null,null,null,null,null
Secret Government,21/06/2020,PEGI-12,1,0,null,null
Eggs of Steel,12/11/1998,null,null,null,null,null
Captain Tsubasa: Gekito no Kiseki,null,null,null,null,null,null
Angstrom Station VR,null,null,null,null,null,null
ACA NEOGEO NEO GEO CUP '98: THE ROAD TO THE VICTORY,28/11/2018,ESRB-E,1,0,null,null
Pirates of Black Cove: Origins,null,null,null,null,null,null
Car Mechanic Simulator: Pocket Edition,null,null,null,null,null,null
イヌワシ ～うらぶれ探偵とお嬢様刑事の池袋事件ファイル～,03/03/2020,null,1,0,null,null
HUEBRIX,null,null,null,null,null,null
The Sacrifice,null,null,null,null,null,null
Fleet Wars,30/12/2018,null,0,1,null,null
小镇放置修仙,01/02/2020,null,1,0,null,null
Paradise Never,null,null,null,null,null,null
Be The King - Enjoy your trip to the Top,null,null,null,null,null,null
Trinity VR,null,null,1,0,null,null
Thousand Threads,29/07/2020,null,1,0,null,null
Diddy Kong Racing Adventure,null,null,null,null,null,null
Space Cobra Professional,null,null,null,null,null,null
Lands of Pharaoh: Episode 1,null,null,1,0,null,null
Pako,31/12/2013,ESRB-M,null,null,null,null
Curveball,null,null,null,null,null,null
Dragon Ball VR: Master the Kamehameha,13/07/2017,null,1,0,null,null
Dynasty Warriors: Gundam Reborn,18/12/2013,ESRB-T,null,null,null,null
Zeal,30/12/2008,null,1,0,null,null
Zombie Apocalypse,30/12/2017,null,1,0,null,null
2010: The Text Adventure Game,30/12/1985,null,1,0,null,null
Worm,null,null,null,null,null,null
The Nightmare Before Christmas: The Pumpkin King,09/11/2005,null,null,null,null,null
Other Side,null,null,null,null,null,null
PLAYERUNKNOWN'S BATTLEGROUNDS: Season 6,21/01/2020,ESRB-T,1,1,null,null
堕魔的伊米娅（Fallen Emiya）,null,null,1,0,null,null
Conan Chop Chop,30/12/2020,null,1,1,null,null
Crisis VRigade,18/09/2018,null,1,1,null,null
Returner Zhero,29/08/2018,null,1,0,null,null
The Yellow King,20/11/2019,null,1,1,null,null
NEW Again Beauty,null,null,null,null,null,null
Blades of the Righteous,06/03/2016,null,1,0,null,null
Abyss Attack,07/08/2013,null,null,null,null,null
God Medicine Hukkoku Ban,28/07/1993,null,1,0,null,null
Anfractuos,null,null,1,0,null,null
VR HORROR,null,null,null,null,null,null
Urusei Yatsura: Stay With You,null,null,null,null,null,null
Miracle Adventure Esparks,10/01/1993,null,null,null,null,null
Virtual Sister Happy Mom Newborn Baby Family Game,null,null,null,null,null,null
Ghost SEED,null,null,0,1,null,null
Time Secret,null,null,null,null,null,null
The Dungeons of Castle Madness,07/08/2016,null,1,0,null,null
Theatre of War 2: Kursk 1943,08/03/2010,PEGI-16,1,1,null,null
Saru! Get You! Million Monkeys,null,null,null,null,null,null
The Greedy MaxCoon,null,null,null,null,null,null
Super Hero Generation,22/10/2014,null,1,0,null,null
Rahxephon,null,null,null,null,null,null
American Idol: The Search For A Superstar,null,null,null,null,null,null
Tantei Shinshi Dash!,null,null,null,null,null,null
VIC Scramble,null,null,null,null,null,null
Battlegrounds Real Time Strategy Multiplayer: Spy vs Spy Edition,null,null,null,null,null,null
Zombie Defense Squad,20/12/2013,null,null,null,null,null
Kalling Kingdom,20/09/2019,null,1,0,null,null
Fracture,06/10/2008,ESRB-T,1,1,null,null
Monte Carlo,31/05/1980,null,null,null,null,null
Honey Hunt,31/01/1983,null,null,null,null,null
NBA All-Star Challenge 2,31/05/1992,null,null,null,null,null
Fighter Duel,null,null,null,null,null,null
Ray Five,null,null,null,null,null,null
Fukakutei Sekai no Tantei Shinshi Rebirth!,null,null,null,null,null,null
The Hi-Finesse: 2D,19/11/2016,null,1,0,null,null
Zeliria Sanctuary,null,null,1,0,null,null
Super Bike,null,null,null,null,null,null
Fukakutei Sekai no Tantei Shinshi Origin!,null,null,null,null,null,null
Roofbot: Puzzler On The Roof,null,null,null,null,null,null
VanillaWare Unannounced Project,null,null,null,null,null,null
Panzer Party,30/12/2017,null,null,null,null,null
Buzludzha VR,null,null,1,0,null,null
Galcon Fusion,10/02/2010,null,1,1,null,null
Billionaire Dad Luxury Life Real Family Games,null,null,null,null,null,null
"Lupin III: Lupin Is Dead, Zenigata Is In Love",null,null,null,null,null,null
Monster Radar,null,null,null,null,null,null
Recompile,30/12/2020,ESRB-RP,1,0,null,null
Love Match Tennis,null,null,null,null,null,null
Gain Ground SX,null,null,null,null,null,null
Enchanted Fairy Friends,null,null,null,null,null,null
Big Kahuna Words,null,null,null,null,null,null
Hidden Object: Halloween House,null,null,null,null,null,null
The Rat Project,1,0,null,null,null,null
Speedball Arena,null,null,null,null,null,null
FreeRun Masters,null,null,null,null,null,null
Ace of Hearts,null,null,null,null,null,null
Downtown Nekketsu Monogatari EX,null,null,04/04/2004,null,null,null
Tic Tac Math Algebra,null,null,null,null,null,null
The Dawn of Art,1,0,23/02/2020,null,null,null
Batman: The Dark Knight,null,null,null,null,null,null
Ninja Chicken for Mac,null,null,null,null,null,null
Toy Defense 3: Fantasy,null,null,null,null,null,null
Aquavias,null,null,null,null,null,null
Fishing Clash: Catching Fish Game. Bass Hunting 3D,null,null,null,null,null,null
Where is my family,1,0,null,null,null,null
PinUpPoker,null,null,null,null,null,null
Dead or Alive M,null,null,null,null,null,null
Mech Brigade,1,1,30/12/1985,null,null,null
The Avaunting,null,null,null,null,null,null
Flappy Gravity,1,0,02/03/2017,PEGI-3,null,null
Pixel Draw,1,0,null,null,null,null
California Gold Rush,null,null,null,null,null,null
Escape IV - Prison Break,null,null,null,null,null,null
Paint My Cat - Color and Play,null,null,null,null,null,null
WMS Slots Adventure: War For Olympus,null,null,null,null,null,null
The Chronicles of Robin Hood - The King of Thieves,null,null,null,null,null,null
Victor Vran,1,1,23/07/2015,ESRB-RP,null,null
IKAROS,1,0,31/07/2017,null,null,null
Truck Jam,null,null,null,null,null,null
Moto Mania Dirt Bike Challenge,null,null,null,null,null,null
House Escape,null,null,null,null,null,null
Saints Row IV: National Treasure Edition,null,null,07/07/2014,null,null,null
The Elder Scrolls IV: Oblivion - Spell Tomes,null,null,30/08/2006,null,null,null
Blood Strike,null,null,null,null,null,null
Food From The Sky,1,0,null,null,null,null
Minoes,null,null,null,null,null,null
Mario Andretti Pinball,null,null,null,null,null,null
Robo Risk,null,null,null,null,null,null
The Forest Cathedral,null,null,null,null,null,null
MEGA MAN 3 MOBILE,null,null,null,null,null,null
Deus Ex: Human Revolution - Augmented Edition,1,0,22/09/2011,null,null,null
The Flesh God,1,0,30/09/2017,null,null,null
Shuffle 'n Slide,null,null,null,null,null,null
MechZ9,null,null,null,null,null,null
Ballpoint Universe - Infinite,1,0,09/05/2013,ESRB-E10,null,null
Skykeepers,1,0,30/03/2017,ESRB-E,null,null
Slime Adventure 2,1,0,null,null,null,null
Build-A-Lot,1,0,08/12/2008,ESRB-E,null,null
Stunt Corgi,1,0,14/01/2018,null,null,null
Despair 2,null,null,null,null,null,null
